initial_position,initial_velocity,mass,time,location
421,70,426,47,-7135.1900000000005
5198,80,998,53,-4354.1900000000005
6052,14,103,93,-35112.590000000004
3258,56,265,98,-38409.64
6554,4,934,77,-22249.39
3607,24,923,6,3574.24
823,51,852,58,-12736.240000000002
5613,75,522,26,4243.84
4523,65,42,21,3722.69
3193,41,913,72,-19308.440000000002
9841,74,868,35,6416.25
5028,53,705,6,5169.24
1532,5,878,13,767.2099999999999
3996,73,77,26,2574.8399999999997
402,45,124,33,-3459.99
8946,89,413,87,-20474.79
9192,64,538,28,7134.5599999999995
3656,3,708,72,-21581.440000000002
7941,23,123,38,1724.96
8332,1,650,39,902.8899999999994
8244,81,162,81,-17409.510000000002
7952,96,91,74,-11831.16
894,41,946,9,865.29
3095,15,767,20,1431.0
6159,28,517,99,-39191.91
5339,59,401,79,-20643.31
3522,6,725,84,-30618.96
5435,74,569,52,-3993.6400000000012
5037,56,896,51,-4877.91
3421,57,774,90,-31220.0
5026,6,218,27,1608.6099999999997
4735,64,360,67,-13017.990000000002
9312,49,171,4,9429.44
5936,53,411,16,5527.04
173,50,734,61,-15047.11
9821,82,714,27,8455.61
9343,82,947,73,-10836.39
4871,85,571,19,4713.49
1756,99,450,62,-10980.04
556,5,353,2,546.36
7918,73,829,71,-11650.310000000001
48,19,184,50,-11277.0
8078,32,990,21,6584.6900000000005
7199,92,97,35,4404.25
7927,78,954,58,-4066.2400000000016
4274,8,404,95,-39278.75
8110,2,991,35,2165.25
899,24,288,36,-4600.360000000001
1400,57,588,91,-34072.71
2515,81,278,95,-34102.75
946,45,334,18,165.15999999999985
4361,23,493,49,-6300.91
2145,22,560,18,950.1599999999999
1362,98,584,22,1141.56
5186,64,607,39,213.88999999999942
4617,14,3,36,-1242.3600000000006
1834,96,602,23,1444.6100000000001
5027,69,574,22,4168.5599999999995
1265,24,216,94,-39863.76
5746,71,257,6,5995.24
4365,72,731,7,4628.41
5657,37,335,10,5536.0
5909,2,331,93,-36371.590000000004
809,61,75,55,-10688.75
169,72,784,5,406.25
2036,58,852,14,1885.6399999999999
4876,40,970,69,-15740.510000000002
5035,70,931,29,2935.6899999999996
4669,91,853,14,4980.64
9617,10,176,38,2906.96
2105,77,436,46,-4742.5599999999995
3975,95,491,53,-4782.1900000000005
8313,30,172,82,-22241.840000000004
3691,49,593,8,3768.76
5609,70,752,40,553.0
7146,13,56,80,-23238.0
6336,18,560,46,-3225.5599999999995
5051,86,500,69,-12391.510000000002
5223,21,295,95,-37094.75
7119,78,847,62,-6919.040000000001
4830,72,949,15,4805.25
3949,50,499,45,-3743.75
6150,51,86,75,-17643.75
2391,29,156,5,2413.25
3923,15,200,98,-41762.64
2800,8,742,72,-22077.440000000002
2773,75,918,26,1403.8399999999997
3897,96,623,74,-15886.16
6425,90,814,97,-31043.190000000002
7246,23,733,10,6985.0
7104,8,586,62,-11274.04
5556,85,386,31,3472.49
8108,84,410,84,-19480.96
565,39,990,4,642.44
5365,27,309,16,4540.04
5550,92,321,12,5946.96
6132,65,878,68,-12151.84
1394,11,704,30,-2695.0
193,51,725,52,-10431.640000000001
3897,30,495,77,-22904.39
9706,57,761,63,-6190.790000000001
6001,39,564,18,5112.16
872,54,688,72,-20693.440000000002
9692,74,590,58,-2533.2400000000016
7613,48,846,1,7656.09
6323,35,324,57,-7634.59
9557,80,488,85,-19117.75
4104,65,923,13,4119.21
